distance,weight,speed,traffic,weather,eta
453,19639,83,1,3,6.957831325301205
1009,12237,70,1,3,15.914285714285715
492,16838,82,1,1,6.7
1513,2196,70,1,2,22.714285714285715
1006,26939,78,2,4,15.097435897435897
1779,6964,80,4,1,23.8375
395,17171,55,3,3,9.281818181818181
372,3794,58,1,4,8.313793103448276
1298,10333,73,2,3,19.58082191780822
1507,13459,77,2,4,21.771428571428576
519,25929,62,3,1,9.670967741935485
351,19687,89,1,4,5.843820224719101
1138,8413,77,3,4,17.27922077922078
1523,7950,68,3,1,23.69705882352941
1635,15299,83,1,1,20.398795180722892
1307,6500,74,3,1,18.96216216216216
892,7288,79,3,4,13.791139240506329
1033,29003,78,1,4,15.143589743589743
548,12819,51,2,1,11.745098039215685
1308,8677,82,3,4,18.451219512195124
1205,28504,84,1,1,15.045238095238096
828,29938,59,3,4,16.533898305084747
322,12056,75,4,2,6.293333333333333
622,18939,62,2,1,11.03225806451613
791,14715,62,2,2,14.158064516129032
604,2634,55,4,2,12.981818181818182
1586,7389,79,3,3,22.175949367088606
658,17748,52,2,2,14.053846153846154
640,17078,71,4,3,11.414084507042254
743,5132,70,1,2,11.714285714285715
1061,11821,75,1,3,15.646666666666668
1619,15190,67,3,1,25.46417910447761
1130,3939,63,1,2,19.036507936507938
977,9476,53,3,3,20.53396226415094
1415,10283,52,1,4,29.111538461538462
1586,14189,66,4,1,25.63030303030303
964,3944,82,3,1,13.05609756097561
1467,17606,89,4,4,19.283146067415732
57,2794,53,3,2,2.7754716981132077
521,28526,56,1,3,10.80357142857143
826,2444,81,2,4,12.397530864197531
788,9964,89,3,1,10.153932584269663
901,22261,73,3,3,14.442465753424656
400,21229,64,3,4,8.75
702,3300,80,1,2,9.875000000000002
813,26251,82,3,4,12.414634146341463
1518,22144,59,3,1,27.028813559322032
1062,5324,52,2,2,21.823076923076925
651,25245,84,2,2,9.15
1912,3060,81,1,2,24.704938271604938
252,17808,71,1,3,5.049295774647888
1374,23063,54,3,2,27.144444444444442
1269,27642,50,4,1,26.979999999999997
127,21113,65,2,1,2.9538461538461536
1914,17573,58,3,4,35.5
1964,1142,66,3,4,32.25757575757576
666,13252,78,1,3,10.03846153846154
289,16949,83,2,2,4.881927710843374
1379,2296,61,2,4,24.806557377049185
1054,3432,75,3,3,16.153333333333332
874,6296,55,4,2,17.89090909090909
1595,24867,78,1,2,21.54871794871795
1880,13922,58,2,4,34.61379310344828
1658,8586,81,3,3,22.569135802469134
83,18123,63,3,2,3.0174603174603174
1403,12071,81,3,2,19.020987654320987
1106,5602,78,2,4,16.379487179487178
250,2504,77,2,4,5.4467532467532465
1967,14156,53,3,3,39.213207547169816
1860,3088,56,2,3,35.01428571428572
1648,8420,56,1,2,30.52857142857143
98,20682,55,4,2,3.7818181818181813
1248,15173,54,3,4,25.61111111111111
1474,15223,70,4,4,23.857142857142858
1414,12118,56,2,3,27.05
1898,10150,76,2,1,25.973684210526315
1838,27423,62,1,1,30.34516129032258
1338,5414,58,4,4,25.86896551724138
333,23311,66,2,1,6.045454545454546
700,25517,59,1,1,12.564406779661018
1102,18132,63,2,2,18.892063492063492
1593,8896,77,4,3,23.088311688311688
1887,27327,86,1,4,23.84186046511628
1916,21328,52,3,4,39.34615384615385
1098,7558,58,3,2,20.63103448275862
666,7507,89,1,3,8.983146067415731
911,13488,89,3,4,12.735955056179776
585,17446,68,2,2,10.00294117647059
1834,8137,50,1,1,37.379999999999995
1069,15390,88,4,1,13.747727272727273
581,12536,54,4,4,13.559259259259258
1465,22405,82,1,4,19.76585365853659
123,6597,64,4,2,3.921875
203,13043,56,4,4,6.425000000000001
1068,26398,55,3,4,21.918181818181818
1820,18861,75,2,4,26.46666666666667
1112,26470,54,4,3,22.99259259259259
203,21702,68,3,1,4.285294117647059
655,24182,75,3,1,10.033333333333333
393,22934,66,1,4,7.854545454545454
414,9641,86,2,2,6.213953488372092
1441,6282,83,1,3,18.86144578313253
789,23283,81,4,2,11.74074074074074
1641,5310,68,1,3,25.63235294117647
1079,24190,66,4,3,18.748484848484846
1271,7486,61,2,2,22.236065573770492
1534,9853,70,2,2,23.314285714285717
334,29073,70,4,3,7.171428571428572
1964,12971,51,2,1,39.509803921568626
1455,29050,81,1,3,19.462962962962962
1073,26770,63,4,2,19.03174603174603
386,26305,71,1,3,6.936619718309859
1736,6297,84,1,4,22.56666666666667
884,27574,62,4,4,17.058064516129033
1349,24167,61,1,1,22.814754098360655
1870,27741,66,4,1,29.93333333333333
184,17853,71,2,1,3.591549295774648
1011,13455,73,1,1,14.549315068493152
62,20905,63,2,2,2.384126984126984
1355,19035,57,1,4,25.671929824561406
1878,4450,55,4,2,36.14545454545455
409,3536,72,4,1,7.280555555555556
220,3371,57,4,2,5.859649122807017
459,6820,83,1,2,6.630120481927711
907,27941,62,4,2,16.629032258064516
1658,12992,77,4,4,24.332467532467533
925,15081,85,3,3,12.982352941176472
576,9413,60,4,1,11.2
1499,22027,70,2,2,22.814285714285717
1286,6669,61,1,2,22.181967213114756
198,24016,80,2,3,4.275
1881,20349,87,2,4,23.820689655172416
1068,14884,64,2,1,17.6875
1630,20489,69,1,4,25.523188405797104
1889,13603,82,3,1,24.336585365853654
263,25906,65,4,2,6.046153846153846
1669,6496,75,4,3,24.653333333333332
1570,4926,75,1,2,22.033333333333335
87,7316,72,3,1,2.5083333333333333
1782,9200,78,1,2,23.946153846153848
1695,11207,58,4,2,31.224137931034484
858,6477,79,2,3,12.660759493670884
1175,12089,70,1,3,18.285714285714285
471,18130,63,1,3,8.976190476190476
1281,28340,85,1,3,16.570588235294117
1210,13069,61,4,3,22.23606557377049
554,13230,71,4,1,9.402816901408451
1955,23516,74,3,3,28.518918918918917
1692,23400,72,4,1,25.099999999999998
1928,21054,59,2,3,34.47796610169492
875,9723,66,4,1,14.857575757575757
1479,17963,66,2,3,24.20909090909091
467,2580,85,2,2,6.894117647058823
617,14476,84,4,2,9.345238095238095
1402,28958,71,1,2,20.846478873239437
1269,18488,89,2,2,15.658426966292135
865,26378,78,3,4,13.58974358974359
169,15026,81,2,3,3.88641975308642
768,24286,79,3,1,11.021518987341773
771,29729,59,4,2,15.067796610169491
1311,15071,50,2,2,27.62
1602,29538,87,2,3,20.21379310344828
92,5332,83,2,3,2.9084337349397593
1993,14009,66,2,3,31.996969696969696
459,2924,69,1,2,7.752173913043478
1140,4042,88,1,1,13.654545454545456
1476,4172,85,1,2,18.46470588235294
619,5669,69,1,1,9.671014492753624
1373,11713,88,1,4,17.50227272727273
1078,4841,61,3,3,19.772131147540982
1841,16730,56,3,3,34.975
722,22541,73,4,3,12.290410958904108
677,18203,78,4,3,11.079487179487177
365,19270,81,1,1,5.206172839506173
1991,29290,56,4,3,37.953571428571436
1128,14103,68,4,1,18.188235294117646
501,14822,68,4,3,9.767647058823528
1236,18788,50,4,2,26.72
192,13835,79,2,4,4.630379746835443
167,7406,54,2,2,4.492592592592593
1493,6357,84,2,2,19.173809523809528
495,25276,65,1,4,9.515384615384615
329,5830,60,2,1,6.483333333333333
1478,9711,82,4,2,20.024390243902438
1015,10902,68,3,3,17.026470588235295
925,14270,53,4,3,19.852830188679246
858,23656,57,1,2,16.152631578947368
1613,19005,75,4,3,23.906666666666666
1636,25115,79,4,4,23.508860759493672
831,18267,64,2,3,14.784375
1329,19275,88,1,2,16.202272727272728
1270,1438,79,4,2,18.075949367088608
1256,3805,56,3,1,23.728571428571424
804,26745,83,2,1,10.686746987951807
532,9591,76,1,4,8.9
1547,23105,84,4,1,20.016666666666666
1420,7826,56,3,4,27.857142857142858
302,10696,87,4,4,6.271264367816093
1883,3353,77,1,2,25.554545454545455
1359,1527,52,3,4,28.634615384615383
1390,26680,67,3,3,22.846268656716415
1239,14364,80,2,3,17.2875
608,9458,71,2,4,10.76338028169014
519,1331,61,2,3,10.308196721311475
1579,14242,63,2,3,26.863492063492064
188,13042,56,4,4,6.157142857142857
1494,5918,80,3,1,19.974999999999998
1386,3622,74,4,1,20.329729729729728
418,3882,62,4,3,9.141935483870968
236,8572,80,3,3,5.050000000000001
1872,6372,54,2,1,35.666666666666664
782,21307,67,2,3,13.471641791044775
543,4319,51,2,3,12.44705882352941
1613,16833,53,2,3,32.23396226415095
976,20393,60,3,3,18.366666666666664
146,24121,58,1,4,4.417241379310345
911,16764,67,1,1,14.297014925373135
763,22305,82,2,3,11.104878048780488
1569,29536,50,1,1,32.08
1047,3731,81,4,2,14.925925925925926
142,23766,70,1,2,3.128571428571428
1607,19447,50,2,1,33.14
438,27749,62,4,3,9.464516129032258
379,15012,54,1,1,7.718518518518518
1387,14024,65,2,4,23.53846153846154
401,9579,69,3,2,7.511594202898551
1410,3588,85,3,4,19.08823529411765
1559,25284,73,1,1,22.056164383561644
597,1309,78,3,3,9.753846153846155
1218,9681,89,3,3,15.785393258426968
746,8161,86,4,3,11.07441860465116
1654,9012,58,1,1,29.217241379310344
330,17203,67,4,1,6.525373134328358
1712,18147,82,1,2,21.978048780487807
1880,7448,69,3,2,28.946376811594202
1151,18622,59,3,1,20.808474576271184
1480,28833,77,2,4,21.420779220779224
1156,21596,50,1,1,23.82
614,11369,70,4,1,10.371428571428572
840,26816,88,3,1,10.845454545454546
199,15293,75,3,2,4.3533333333333335
1918,10459,52,3,2,38.58461538461538
1607,1158,88,4,1,19.861363636363635
1697,14809,80,3,4,23.7125
1587,18355,81,1,4,21.492592592592594
1585,3440,61,2,1,26.983606557377048
1526,3618,84,4,2,20.166666666666668
533,27583,62,4,3,10.996774193548386
445,11979,58,1,3,9.172413793103448
581,10401,84,3,1,8.216666666666667
838,3444,57,1,3,16.201754385964914
95,26941,53,2,3,3.5924528301886793
858,5059,53,2,1,17.18867924528302
1387,9144,85,4,4,19.11764705882353
1421,12879,83,3,2,18.820481927710844
401,25910,59,3,3,8.896610169491524
1498,28538,51,2,2,30.772549019607844
1322,6081,50,1,3,27.94
1146,23758,60,2,2,20.500000000000004
362,25753,64,4,3,8.05625
414,25957,60,1,2,8.0
279,8880,62,2,3,6.3
1528,14901,66,4,4,25.951515151515153
1094,13106,52,3,3,23.138461538461538
1721,10352,56,2,1,31.732142857142858
1518,27056,83,3,3,20.389156626506022
1169,20225,59,4,1,21.413559322033898
310,14733,64,3,2,6.54375
1927,12485,79,1,4,26.29240506329114
807,27691,59,2,4,15.877966101694915
561,6423,85,2,3,8.399999999999999
1662,27933,55,4,2,32.21818181818182
1698,29572,85,4,2,21.976470588235294
1750,22277,64,1,4,29.243750000000002
1314,16137,59,2,4,24.471186440677968
1011,6187,78,2,4,15.161538461538461
1281,26938,81,4,2,17.814814814814817
1029,8609,53,3,4,21.91509433962264
1324,11938,71,3,3,20.747887323943658
1592,29198,79,4,4,22.951898734177217
967,2756,63,1,1,16.04920634920635
259,27925,61,2,1,5.245901639344262
1917,19175,57,2,4,35.83157894736842
251,22475,84,2,2,4.3880952380952385
1508,3283,58,2,2,27.400000000000002
1889,4548,81,2,1,24.320987654320987
1874,4995,86,4,3,24.190697674418605
1025,29191,77,4,3,15.71168831168831
1613,16929,56,4,2,30.803571428571427
1155,10246,51,1,1,23.347058823529412
735,13516,87,1,2,9.548275862068968
1740,4184,76,3,4,25.394736842105264
1165,4492,73,2,3,17.75890410958904
1558,23675,52,2,4,32.16153846153846
1345,16503,68,3,1,21.07941176470588
1328,5000,77,4,3,19.646753246753246
153,14576,66,2,1,3.3181818181818183
1862,18513,65,2,1,29.646153846153847
1476,29627,75,4,1,21.279999999999998
1662,16831,59,1,2,29.26949152542373
1854,26056,56,3,2,34.80714285714285
1624,6845,81,1,4,21.949382716049385
661,13838,50,4,4,16.02
259,23803,66,2,3,5.724242424242425
287,18887,78,2,1,4.67948717948718
1133,1359,56,1,4,22.13214285714286
286,12184,85,4,4,6.164705882352941
58,27570,61,2,3,2.7508196721311475
947,29680,50,2,2,20.340000000000003
1572,22862,78,4,1,21.75384615384615
59,5068,88,3,1,1.9704545454545452
1215,6029,84,2,1,15.464285714285714
1062,21490,61,2,3,19.20983606557377
1567,1739,79,2,4,22.035443037974687
1666,6245,70,1,1,24.5
1478,3093,58,3,1,26.782758620689652
268,9691,81,1,2,4.408641975308642
1612,21396,82,4,3,22.058536585365854
509,27823,50,3,3,12.280000000000001
449,21045,76,2,3,7.707894736842105
841,12382,75,2,4,13.413333333333332
1048,26571,89,3,4,14.275280898876405
516,28873,69,1,3,8.978260869565219
429,10592,87,2,2,6.3310344827586205
753,13622,60,1,4,14.450000000000001
1981,2753,60,3,2,34.71666666666666
1445,5959,57,2,2,26.750877192982458
1823,2471,63,2,1,29.936507936507937
431,15120,59,1,4,9.205084745762711
1459,8344,62,1,3,25.032258064516128
851,2888,84,4,3,12.530952380952382
1957,28043,58,2,4,35.94137931034483
1303,14929,62,4,2,23.016129032258064
504,4031,57,1,1,9.542105263157897
1173,28138,72,3,4,18.791666666666668
235,25278,63,3,3,5.83015873015873
1933,28162,88,3,4,24.46590909090909
231,11655,78,1,3,4.461538461538462
1587,18660,53,3,4,32.44339622641509
1094,13847,73,2,3,16.786301369863015
1348,17014,63,3,1,22.696825396825393
1809,7351,54,1,2,34.599999999999994
458,13604,67,4,2,8.835820895522389
579,22045,73,4,1,9.531506849315068
71,7398,85,1,2,1.9352941176470588
810,22106,89,1,1,9.801123595505619
1887,6476,51,1,1,37.699999999999996
1493,9353,70,4,1,22.928571428571427
200,23586,62,2,1,4.225806451612903
578,14793,70,4,3,10.657142857142858
934,27343,59,4,4,18.630508474576274
774,11998,52,2,2,16.284615384615385
1310,21347,64,4,1,22.068749999999998
1316,16554,77,4,2,19.09090909090909
226,17903,51,2,4,6.631372549019607
1511,17005,53,4,4,31.30943396226415
207,15819,55,3,4,6.263636363636364
1202,7824,51,1,4,25.468627450980396
1945,8213,52,3,4,39.90384615384615
120,17125,63,4,3,4.304761904761905
999,8785,69,2,3,16.278260869565216
812,24907,59,2,3,15.56271186440678
316,8212,66,1,4,6.6878787878787875
159,12660,70,3,2,3.9714285714285715
755,27745,55,3,4,16.227272727272727
1799,7205,66,1,4,29.15757575757576
169,24552,77,3,3,4.294805194805194
1353,4479,83,2,2,17.70120481927711
556,22709,64,1,3,10.1875
1383,28692,54,3,1,26.911111111111108
1298,15003,87,3,1,16.21954022988506
1011,11399,66,3,1,16.618181818181817
630,28069,82,4,4,10.482926829268292
1689,17012,65,2,1,26.984615384615385
663,22979,54,1,1,12.97777777777778
501,14317,58,2,4,10.837931034482757
583,3130,78,1,1,8.174358974358974
1617,7078,72,4,2,24.458333333333332
1842,3448,85,3,2,23.370588235294118
698,3043,77,1,1,9.764935064935067
1982,13299,70,3,4,30.814285714285713
1711,16830,69,1,3,26.297101449275363
997,24589,83,3,3,14.112048192771084
1455,24942,67,1,1,22.41641791044776
1979,13513,85,3,2,24.98235294117647
143,3274,75,4,1,3.5066666666666664
878,29648,72,4,2,14.194444444444445
379,27944,60,2,1,7.316666666666666
532,21704,61,4,2,10.721311475409836
1758,15082,67,4,2,28.238805970149254
179,23957,53,4,4,6.1773584905660375
546,10647,58,4,3,11.813793103448276
233,2410,57,2,4,6.287719298245614
703,5997,85,4,1,9.870588235294118
497,2597,53,3,2,11.07735849056604
1187,8950,56,1,2,22.296428571428574
402,11685,86,3,4,7.174418604651162
313,4086,60,4,3,7.616666666666667
451,10773,65,3,2,8.63846153846154
83,16408,60,2,1,2.3833333333333333
844,20057,77,3,1,12.261038961038961
1935,18639,87,4,3,24.641379310344828
547,6803,69,4,3,10.327536231884057
1533,19958,75,3,3,22.54
957,9972,67,4,2,16.283582089552237
1305,9343,64,1,2,21.490625
1111,12256,83,3,4,15.885542168674698
885,15994,63,3,4,16.547619047619047
1999,28626,54,2,1,38.01851851851852
1426,8083,72,3,3,21.905555555555555
1017,4383,60,2,3,18.75
1441,10803,52,1,1,28.41153846153846
1356,14929,77,1,3,19.11038961038961
218,16955,54,4,4,6.837037037037037
277,27030,53,3,1,6.526415094339622
992,5006,61,1,1,16.962295081967213
1763,18122,89,4,4,22.608988764044945
724,5404,75,4,4,12.453333333333333
1263,27790,82,3,3,17.50243902439024
192,14827,64,2,3,4.800000000000001
1766,4652,67,2,2,27.758208955223882
914,20323,62,2,1,15.741935483870968
1381,22671,52,4,1,28.157692307692304
318,27820,74,2,1,5.297297297297297
1695,26417,69,3,2,26.265217391304347
450,13053,61,3,1,8.677049180327868
136,1721,52,1,1,3.315384615384615
680,7231,73,4,3,11.715068493150685
469,25694,58,2,4,10.286206896551723
223,27466,74,4,2,5.013513513513513
1498,5259,82,1,4,20.168292682926833
262,9992,80,4,4,6.074999999999999
744,7205,55,4,4,16.327272727272728
803,26633,69,1,2,12.73768115942029
1894,12700,73,1,2,27.045205479452058
1514,9166,80,2,1,19.925
371,16187,58,3,4,8.89655172413793
1952,3673,56,4,3,37.25714285714286
956,26027,67,4,2,16.268656716417908
995,9123,89,4,4,13.979775280898876
1543,6883,84,2,1,19.36904761904762
224,5704,85,4,4,5.435294117647059
914,13028,75,2,3,13.986666666666668
1916,21384,56,4,1,35.81428571428572
1101,11099,86,4,1,14.402325581395349
1853,5407,55,4,3,36.09090909090909
325,2501,84,1,3,5.3690476190476195
1398,2604,78,3,2,19.623076923076923
297,19658,76,1,2,5.007894736842105
1389,11622,61,1,2,23.87049180327869
1291,29234,77,3,4,19.266233766233768
458,17108,84,4,1,7.052380952380953
1775,8308,73,4,4,27.115068493150687
593,8833,85,4,3,9.376470588235293
787,5792,52,1,4,17.034615384615385
253,19245,61,2,4,6.347540983606557
1252,14084,57,3,4,24.464912280701753
81,23595,73,1,3,2.609589041095891
1747,9913,67,1,3,27.574626865671643
1067,21501,72,1,1,15.519444444444446
615,7511,77,4,1,9.587012987012987
1300,27601,66,3,3,21.796969696969693
1124,15311,57,1,2,20.819298245614036
205,12677,69,1,4,4.871014492753623
747,2743,67,4,2,13.149253731343284
1011,6692,72,1,3,15.541666666666668
1097,23064,52,1,4,22.99615384615385
1144,4281,64,3,1,19.174999999999997
1429,5884,89,3,1,17.356179775280896
1285,11245,67,1,3,20.67910447761194
